Coin,Date,Price,Market_Cap,Volume,Supply,Category,Log_Return,Volatility_30d,Peg_Deviation
USDC,2020-01-22,1.000878618,444027176.472694,320079261.05,443637388.69,Fiat-backed,-7.354912065059567e-4,NA,8.786179999999977e-4
sUSD,2020-01-22,0.9768601575,6470898.14899873,12085.02,6624180.65,Crypto-backed/Algorithmic,-0.014724570779116389,NA,0.023139842500000007
BUSD,2020-01-23,1.0037019188,23693202.5692494,18332840,23605815.76,Fiat-backed,0.002293832473429967,NA,0.003701918800000037
Tether USDt,2020-01-23,1.0029700565,4656155507.28122,33356108237.98,4642367414,Fiat-backed,0.004558257815508303,NA,0.002970056499999929
TrueUSD,2020-01-23,1.0033341812,139662598.288357,521414426.43,139198485.31,Fiat-backed,0.004065674589006993,NA,0.0033341812000000637
USDC,2020-01-23,1.0027933565,444875789.153542,315274054.28,443636554.11,Fiat-backed,0.0019112300887717015,NA,0.0027933565000000105
sUSD,2020-01-23,0.9774343629,6759230.52919225,513.41,6915278.19,Crypto-backed/Algorithmic,5.876344742612626e-4,NA,0.022565637100000036
BUSD,2020-01-24,1.0039801754,23699771.0446985,13426613.74,23605815.76,Fiat-backed,2.77191894658393e-4,NA,0.003980175399999952
Tether USDt,2020-01-24,1.0021126404,4652175066.95046,26340299494.98,4642367414,Fiat-backed,-8.552426825964305e-4,NA,0.002112640400000032
TrueUSD,2020-01-24,1.0019653124,139713564.374979,452675302.88,139439522.16,Fiat-backed,-0.0013652514419812373,NA,0.0019653124000000854
USDC,2020-01-24,1.0020353602,444663108.883241,265326086.54,443759897.64,Fiat-backed,-7.561706691489712e-4,NA,0.002035360200000058
sUSD,2020-01-24,0.985546465,7026985.63447921,1528.25,7130039.92,Crypto-backed/Algorithmic,0.008265132460207714,NA,0.014453535000000017
BUSD,2020-01-25,1.0016661318,23645146.1559352,14099450.8,23605815.76,Fiat-backed,-0.002307530114847073,NA,0.0016661317999999703
Tether USDt,2020-01-25,1.0005042358,4644708262.03259,29121614730.82,4642367414,Fiat-backed,-0.0016063031975312642,NA,5.042358000000302e-4
TrueUSD,2020-01-25,0.9992886978,138914336.756002,546572349.24,139013217.16,Fiat-backed,-0.002674938995605623,NA,7.113022000000413e-4
USDC,2020-01-25,1.0121842401,448606932.181652,292385181.14,443206794.18,Fiat-backed,0.010077318069209239,NA,0.012184240100000077
sUSD,2020-01-25,0.9902325412,6438175.65508177,2422.79,6501680.55,Crypto-backed/Algorithmic,0.0047435315104682775,NA,0.009767458799999962
BUSD,2020-01-26,1.0035457629,21865756.7719056,19779988.39,21788499.92,Fiat-backed,0.0018747461607344599,NA,0.0035457628999999713
Tether USDt,2020-01-26,1.0019001486,4651188602.12809,37771545362.01,4642367414,Fiat-backed,0.0013942368854173116,NA,0.0019001486000000956
TrueUSD,2020-01-26,1.0025954923,141246756.716828,622494920.72,140881100.9,Fiat-backed,0.0033036851222211297,NA,0.002595492300000002
USDC,2020-01-26,1.0191205462,449464491.151485,393996732.57,441031723.69,Fiat-backed,0.006829436041860246,NA,0.01912054619999992
sUSD,2020-01-26,0.9882514722,6490369.41494891,2992.02,6567528.2,Crypto-backed/Algorithmic,-0.002002613767577561,NA,0.01174852780000002
BUSD,2020-01-27,0.999839555,20777610.2382087,25015027.93,20780944.44,Fiat-backed,-0.0036999493756235975,NA,1.6044500000000905e-4
Tether USDt,2020-01-27,1.0007599538,4645895398.75727,44123906992.95,4642367414,Fiat-backed,-0.0011386804199384666,NA,7.599538000000461e-4
TrueUSD,2020-01-27,1.0023637217,141472816.935771,729234555.33,141139203.14,Fiat-backed,-2.3119732253296145e-4,NA,0.0023637217000000987
USDC,2020-01-27,1.0241959257,452031882.659929,502474593.91,441352939.73,Fiat-backed,0.004967796234928886,NA,0.024195925699999954
sUSD,2020-01-27,0.9834075647,6871031.01341991,1840.54,6986961.72,Crypto-backed/Algorithmic,-0.004913544537718836,NA,0.016592435299999986
BUSD,2020-01-28,1.0041439263,18797221.6626257,20810480.07,18719648.82,Fiat-backed,0.0042958217566162644,NA,0.004143926300000045
Tether USDt,2020-01-28,1.0022962192,4653027307.09663,42323320107.77,4642367414,Fiat-backed,0.0015339217361281855,NA,0.002296219200000005
TrueUSD,2020-01-28,1.0053452889,140866571.085575,638519160.79,140117602.02,Fiat-backed,0.0029701210445460583,NA,0.005345288900000078
USDC,2020-01-28,1.0250957478,452003907.877015,381758731.95,440938233.19,Fiat-backed,8.781787087356144e-4,NA,0.025095747800000012
sUSD,2020-01-28,0.9842995939,8141390.03525363,2764.32,8271252.05,Crypto-backed/Algorithmic,9.066687156255513e-4,NA,0.01570040610000001
BUSD,2020-01-29,1.0020497515,17986093.2646336,20571219.87,17949301.66,Fiat-backed,-0.00208771025828792,NA,0.0020497514999999744
Tether USDt,2020-01-29,1.0014522412,4649109251.36342,43624728074.14,4642367414,Fiat-backed,-8.423991998888763e-4,NA,0.0014522411999999818
TrueUSD,2020-01-29,1.0031296286,136016580.668616,771073812.65,135592227.36,Fiat-backed,-0.0022063120425151943,NA,0.0031296285999999895
USDC,2020-01-29,1.0440291572,453218426.577823,316332808.49,434105143.02,Fiat-backed,0.01830139670744655,NA,0.0440291572
sUSD,2020-01-29,0.9848156197,7731010.17472318,2841.75,7850210.76,Crypto-backed/Algorithmic,5.241194707639346e-4,NA,0.015184380300000022
BUSD,2020-01-30,1.0029018874,16700086.6448064,19372175.38,16651765.1,Fiat-backed,8.500314269694376e-4,NA,0.0029018873999999695
Tether USDt,2020-01-30,1.0006478419,4645374933.94029,40496855325.19,4642367414,Fiat-backed,-8.03555576540318e-4,NA,6.478419000000013e-4
TrueUSD,2020-01-30,1.003652452,136174767.361709,527959051.45,135679205.58,Fiat-backed,5.210564882787374e-4,NA,0.0036524520000000837
USDC,2020-01-30,1.0283741107,449187881.352513,361818895.78,436794233.43,Fiat-backed,-0.015108395678732633,NA,0.028374110699999955
sUSD,2020-01-30,0.9942069765,7735927.15685558,2616.83,7781002.69,Crypto-backed/Algorithmic,0.009490975307331994,NA,0.005793023499999994
BUSD,2020-01-31,1.0017895798,16681564.7589367,19905598.33,16651765.1,Fiat-backed,-0.0011097046426788825,0.002839939044444272,0.0017895798000000518
Tether USDt,2020-01-31,1.0012158603,4648011884.00458,34763069931.3,4642367414,Fiat-backed,5.674895994365178e-4,0.00232888392904529,0.0012158603000000934
TrueUSD,2020-01-31,1.0023867575,137226402.134895,553622664.55,136899655.86,Fiat-backed,-0.0012618842761982765,0.0027734027398768186,0.0023867575000000585
USDC,2020-01-31,1.0275459926,446957874.966848,313660538.01,434976028.51,Fiat-backed,-8.055937032348098e-4,0.005737211206642551,0.027545992599999902
sUSD,2020-01-31,0.9836486576,7668484.33377146,1511.75,7795958.72,Crypto-backed/Algorithmic,-0.010676632827425455,0.010429226453617019,0.016351342400000024
BUSD,2020-02-01,1.0021085461,16686876.1103385,23738386.88,16651765.1,Fiat-backed,3.1834582663790606e-4,0.0028200624049664483,0.0021085461000001082
Tether USDt,2020-02-01,1.0005440746,4644893208.28667,40560625161.1,4642367414,Fiat-backed,-6.71195095383614e-4,0.0022776110819789355,5.440746000000551e-4
TrueUSD,2020-02-01,1.0007739244,136060135.039674,569245258.25,135954916.21,Fiat-backed,-0.0016102886434257969,0.0025385335601861123,7.739244000000145e-4
USDC,2020-02-01,1.0282099853,445776906.369824,384098792.19,433546564.19,Fiat-backed,6.459839885943434e-4,0.005736516964062512,0.028209985299999962
sUSD,2020-02-01,0.9809058687,7831014.73274932,7121.01,7983451.81,Crypto-backed/Algorithmic,-0.0027922774810939027,0.008947119234513318,0.01909413130000004
BUSD,2020-02-02,1.001276665,22548295.2963033,24232653.19,22519545.38,Fiat-backed,-8.304754804045083e-4,0.002728540044041366,0.0012766650000000102
Tether USDt,2020-02-02,0.9989128469,4637320449.7399,39849489335.57,4642367414,Fiat-backed,-0.0016316711246617767,0.0022009560900443895,0.0010871530999999601
TrueUSD,2020-02-02,1.0005935452,138268412.893379,898160770.18,138186393.03,Fiat-backed,-1.8025595322022773e-4,0.002431011525230395,5.935452000001007e-4
USDC,2020-02-02,1.026433903,443211063.258653,387993602.32,431796983.69,Fiat-backed,-0.0017288472737229756,0.005716546224428999,0.026433903000000036
sUSD,2020-02-02,0.9747614777,7189847.49026259,3745.84,7376007.01,Crypto-backed/Algorithmic,-0.006283697714573633,0.008688295318652098,0.02523852230000001
BUSD,2020-02-03,1.0035981195,21341897.1318317,25402602.86,21265381.75,Fiat-backed,0.0023158109977145917,0.002768083563557321,0.0035981195000001076
Tether USDt,2020-02-03,1.0017451831,4650469195.20133,36950713370.7,4642367414,Fiat-backed,0.002831406516988783,0.002264151149844275,0.0017451830999999363
TrueUSD,2020-02-03,1.0021711832,137606295.504009,811413164.9,137308174.3,Fiat-backed,0.0015754604661710003,0.0024535685848285755,0.002171183199999982
USDC,2020-02-03,1.0244359258,441022143.844178,382499609.36,430502418.69,Fiat-backed,-0.0019484199377514575,0.005728411961524289,0.02443592579999998
sUSD,2020-02-03,0.9753630928,7197784.61033782,7347.58,7379595.01,Crypto-backed/Algorithmic,6.170017322859038e-4,0.008677117089904209,0.024636907200000002
BUSD,2020-02-04,1.0026034511,19684323.6575376,41115461.08,19633209.56,Fiat-backed,-9.915937621403055e-4,0.0024947955278104583,0.0026034510999999316
Tether USDt,2020-02-04,1.0028383194,4655543935.30739,46504757742.09,4642367414,Fiat-backed,0.0010906369397860138,0.002195262978846165,0.0028383193999999
TrueUSD,2020-02-04,1.0028820779,139160252.726609,1044378223.75,138760334.63,Fiat-backed,7.091030882622491e-4,0.0023617852298562078,0.0028820779000000574
USDC,2020-02-04,1.03186939,435925185.718127,468527693.11,422461592.45,Fiat-backed,0.007229954154348575,0.005744249360564698,0.03186939
sUSD,2020-02-04,0.9602237364,6243444.17272608,291272.08,6502072.32,Crypto-backed/Algorithmic,-0.015643488486992853,0.009105901645701173,0.03977626359999997
BUSD,2020-02-05,0.9994430099,16392967.8086921,37487335,16402103.62,Fiat-backed,-0.003157213268360341,0.002557617438679109,5.569900999999877e-4
Tether USDt,2020-02-05,0.9972161082,4629443565.54428,46549174002.93,4642367414,Fiat-backed,-0.005622073010787714,0.0024161956718571453,0.002783891800000049
TrueUSD,2020-02-05,0.9986702968,138849484.509537,747888525.36,139034358.94,Fiat-backed,-0.0042085207159212445,0.0024492206198147098,0.001329703200000032
USDC,2020-02-05,1.0246570498,431805231.023828,501097853.97,421414395.3,Fiat-backed,-0.0070141279292905,0.005869402598468351,0.024657049800000053
sUSD,2020-02-05,0.9558735697,5866735.7516811,6299.3,6137564.57,Crypto-backed/Algorithmic,-0.004540661019996952,0.007947829392175643,0.044126430299999964
BUSD,2020-02-06,0.9988856987,32912684.524609,37358541.19,32949400.08,Fiat-backed,-5.577773186668865e-4,0.0023744987400820647,0.001114301300000009
Tether USDt,2020-02-06,0.9977510832,4631927115.87517,42966951014.76,4642367414,Fiat-backed,5.363246224096705e-4,0.0023671768438454335,0.002248916799999945
TrueUSD,2020-02-06,0.9979780083,138746054.350118,797839320.93,139027166.13,Fiat-backed,-6.934506452374018e-4,0.002361429291129099,0.0020219916999999477
USDC,2020-02-06,1.0169313575,426872132.998502,676480628.74,419764942.68,Fiat-backed,-0.00756835133821044,0.006005818156095434,0.016931357500000077
sUSD,2020-02-06,0.9765733205,5950684.48810652,2975.2,6093433.4,Crypto-backed/Algorithmic,0.02142417745752271,0.008809992652386377,0.02342667949999999
BUSD,2020-02-07,0.9980602089,29904084.6725021,40521021.31,29962205.09,Fiat-backed,-8.267523360328743e-4,0.002348273971858641,0.0019397910999999768
Tether USDt,2020-02-07,0.9995343322,4640205612.81705,44251729422.38,4642367414,Fiat-backed,0.00178567315426569,0.0023498249621842957,4.656678000000136e-4
