"value","value_classification","timestamp","time_until_update"
49,"Neutral",2019-03-28,NA
50,"Neutral",2019-03-29,NA
57,"Greed",2019-03-30,NA
56,"Greed",2019-03-31,NA
62,"Greed",2019-04-01,NA
60,"Greed",2019-04-02,NA
71,"Greed",2019-04-03,NA
61,"Greed",2019-04-04,NA
59,"Greed",2019-04-05,NA
65,"Greed",2019-04-06,NA
69,"Greed",2019-04-07,NA
65,"Greed",2019-04-08,NA
64,"Greed",2019-04-09,NA
62,"Greed",2019-04-10,NA
65,"Greed",2019-04-11,NA
42,"Fear",2019-04-12,NA
62,"Greed",2019-04-13,NA
51,"Neutral",2019-04-14,NA
60,"Greed",2019-04-15,NA
50,"Neutral",2019-04-16,NA
61,"Greed",2019-04-17,NA
64,"Greed",2019-04-18,NA
61,"Greed",2019-04-19,NA
62,"Greed",2019-04-20,NA
62,"Greed",2019-04-21,NA
61,"Greed",2019-04-22,NA
68,"Greed",2019-04-23,NA
65,"Greed",2019-04-24,NA
58,"Greed",2019-04-25,NA
41,"Fear",2019-04-26,NA
42,"Fear",2019-04-27,NA
40,"Fear",2019-04-28,NA
42,"Fear",2019-04-29,NA
42,"Fear",2019-04-30,NA
51,"Neutral",2019-05-01,NA
50,"Neutral",2019-05-02,NA
63,"Greed",2019-05-03,NA
66,"Greed",2019-05-04,NA
67,"Greed",2019-05-05,NA
57,"Greed",2019-05-06,NA
69,"Greed",2019-05-07,NA
63,"Greed",2019-05-08,NA
69,"Greed",2019-05-09,NA
71,"Greed",2019-05-10,NA
76,"Extreme Greed",2019-05-11,NA
75,"Greed",2019-05-12,NA
78,"Extreme Greed",2019-05-13,NA
78,"Extreme Greed",2019-05-14,NA
77,"Extreme Greed",2019-05-15,NA
75,"Greed",2019-05-16,NA
65,"Greed",2019-05-17,NA
67,"Greed",2019-05-18,NA
70,"Greed",2019-05-19,NA
73,"Greed",2019-05-20,NA
68,"Greed",2019-05-21,NA
69,"Greed",2019-05-22,NA
65,"Greed",2019-05-23,NA
