"date","symbol","price","volume"
2024-05-18,"ETH",3122.94897460938,9407051320
2024-05-19,"ETH",3071.84301757812,8747800800
2024-05-20,"ETH",3663.85546875,31228143948
2024-05-21,"ETH",3789.31274414062,37643853967
2024-05-22,"ETH",3737.2177734375,25155809461
2024-05-23,"ETH",3776.92724609375,45623656317
2024-05-24,"ETH",3726.9345703125,22257061429
2024-05-25,"ETH",3749.23657226562,10000027764
2024-05-26,"ETH",3825.8974609375,14650794791
2024-05-27,"ETH",3892.0068359375,18949181813
2024-05-28,"ETH",3840.25634765625,19846044324
2024-05-29,"ETH",3763.19653320312,17411416736
2024-05-30,"ETH",3746.849609375,15065849797
2024-05-31,"ETH",3760.02661132812,15290700646
2024-06-01,"ETH",3813.19897460938,8661024535
2024-06-02,"ETH",3780.89599609375,11126903059
2024-06-03,"ETH",3766.38916015625,14082454300
2024-06-04,"ETH",3812.51586914062,13331489271
2024-06-05,"ETH",3864.26098632812,15480034434
2024-06-06,"ETH",3811.60595703125,13606583873
2024-06-07,"ETH",3678.62915039062,18220286186
2024-06-08,"ETH",3680.94995117188,9096091805
2024-06-09,"ETH",3705.90380859375,7910768788
2024-06-10,"ETH",3666.71752929688,10377300126
2024-06-11,"ETH",3498.33056640625,19184721538
2024-06-12,"ETH",3559.61767578125,17142905351
2024-06-13,"ETH",3469.28125,14472382154
2024-06-14,"ETH",3480.27197265625,15793876596
2024-06-15,"ETH",3565.54956054688,12733651076
2024-06-16,"ETH",3620.5634765625,9878388158
2024-06-17,"ETH",3511.37890625,17838856988
2024-06-18,"ETH",3483.68139648438,21022514455
2024-06-19,"ETH",3559.34741210938,15275373778
2024-06-20,"ETH",3511.0869140625,16115123753
2024-06-21,"ETH",3516.07568359375,15933353456
2024-06-22,"ETH",3494.8134765625,7423703673
2024-06-23,"ETH",3418.61181640625,9418141333
2024-06-24,"ETH",3350.25634765625,23137744903
2024-06-25,"ETH",3395.02905273438,13235546063
2024-06-26,"ETH",3369.47729492188,11694054195
2024-06-27,"ETH",3444.80053710938,11771834016
2024-06-28,"ETH",3373.63598632812,12861158844
2024-06-29,"ETH",3372.9677734375,6584792001
2024-06-30,"ETH",3432.88916015625,8396416013
2024-07-01,"ETH",3440.34155273438,12281551839
2024-07-02,"ETH",3416.35473632812,9421757718
2024-07-03,"ETH",3292.91674804688,16121324440
2024-07-04,"ETH",3054.52197265625,20252514386
2024-07-05,"ETH",2981.5986328125,31131942647
2024-07-06,"ETH",3069.3779296875,11586293705
2024-07-07,"ETH",2929.38720703125,10857947538
2024-07-08,"ETH",3018.73193359375,22627377457
2024-07-09,"ETH",3064.03295898438,15269945822
2024-07-10,"ETH",3102.21875,14578679176
2024-07-11,"ETH",3100.33081054688,15230095766
2024-07-12,"ETH",3134.15869140625,12751638331
2024-07-13,"ETH",3177.19873046875,8565105946
2024-07-14,"ETH",3244.0791015625,10517709666
2024-07-15,"ETH",3489.552734375,18305490390
2024-07-16,"ETH",3443.51342773438,20446664416
2024-07-17,"ETH",3388.75244140625,16739123962
2024-07-18,"ETH",3426.25854492188,15035622003
2024-07-19,"ETH",3505.73486328125,17705629736
2024-07-20,"ETH",3519.29541015625,10360198325
2024-07-21,"ETH",3536.60546875,13845913681
2024-07-22,"ETH",3440.419921875,18723199034
2024-07-23,"ETH",3481.99584960938,24468405650
2024-07-24,"ETH",3336.33935546875,16040945448
2024-07-25,"ETH",3174.42724609375,25293745810
2024-07-26,"ETH",3275.95141601562,15993893521
2024-07-27,"ETH",3247.60791015625,15198233287
2024-07-28,"ETH",3271.46459960938,8959236446
2024-07-29,"ETH",3320.53930664062,18334852719
2024-07-30,"ETH",3278.66772460938,14045773047
2024-07-31,"ETH",3231.29565429688,16135380637
2024-08-01,"ETH",3201.564453125,20217639556
2024-08-02,"ETH",2986.01318359375,21400241741
2024-08-03,"ETH",2903.3857421875,17844091431
2024-08-04,"ETH",2686.39892578125,21139601426
2024-08-05,"ETH",2417.20629882812,67668132244
2024-08-06,"ETH",2458.72387695312,26041995921
2024-08-07,"ETH",2336.58935546875,24264218606
2024-08-08,"ETH",2683.35278320312,23468291180
2024-08-09,"ETH",2599.5986328125,17907141655
2024-08-10,"ETH",2610.02294921875,9361014219
2024-08-11,"ETH",2553.25219726562,13595441987
2024-08-12,"ETH",2724.43188476562,21653090666
2024-08-13,"ETH",2703.671875,16383053029
2024-08-14,"ETH",2662.91479492188,15825365408
2024-08-15,"ETH",2570.08764648438,16345801912
2024-08-16,"ETH",2593.1865234375,13275561555
2024-08-17,"ETH",2614.546875,6676568717
2024-08-18,"ETH",2613.35717773438,9207267415
2024-08-19,"ETH",2637.30639648438,11968963282
2024-08-20,"ETH",2573.10693359375,13249483464
2024-08-21,"ETH",2631.3955078125,12766015263
2024-08-22,"ETH",2622.95141601562,10723280428
2024-08-23,"ETH",2764.44702148438,16857181970
